CNPJ_BASICO;CNPJ_ORDEM;CNPJ_DV;IDENTIFICADOR_MATRIZ_FILIAL;NOME_FANTASIA;SITUACAO_CADASTRAL;DATA_SITUACAO_CADASTRAL;MOTIVO_SITUACAO_CADASTRAL;NOME_CIDADE_EXTERIOR;PAIS;DATA_INICIO_ATIVIDADE;CNAE_FISCAL_PRINCIPAL;CNAE_FISCAL_SECUNDARIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD_1;TELEFONE_1;DDD_2;TELEFONE_2;DDD_FAX;FAX;CORREIO_ELETRONICO;SITUACAO_ESPECIAL;DATA_SITUACAO_ESPECIAL;ENDERECO_COMPLETO;CNAE_PRINCIPAL_FILTRO
"26746436";"0001";"18";"1";"";"02";"20161220";"00";"";"";"20161220";"0312401";"";"RUA";"RUA SEBASTIAO ANTONIO DA SILVA";"466";"";"CJ HAB B5";"14795000";"SP";"6343";"17";"33351804";"17";"91698760";"";"";"ESCRITORIOCENTRALBARRETOS@HOTMAIL.COM";"";"";"RUA, RUA SEBASTIAO ANTONIO DA SILVA, 466, CJ HAB B5, 14795000, SP, 6343, Brasil";1
"26751341";"0001";"92";"1";"";"02";"20160920";"00";"";"";"20160920";"0312401";"";"RODOVIA";"ELIEZER MONTENEGRO MAGALHAES";"KM 60";"      RIO TIETE";"PORTO PIO PRADO";"16130000";"SP";"2939";"18";"81319286";"";"";"";"";"SITRAARACATUBA@TERRA.COM.BR";"";"";"RODOVIA, ELIEZER MONTENEGRO MAGALHAES, KM 60, RIO TIETE, PORTO PIO PRADO, 16130000, SP, 2939, Brasil";1
"26865202";"0001";"90";"1";"";"02";"20170113";"00";"";"";"20170113";"0322101";"0121101";"ESTRADA";"PATROCINIO PAULISTA A TAQUARAL KM 08 A ESQUERDA";"S/N";"      SITIO SANTA RITA";"ZONA RURAL";"14415000";"SP";"6827";"16";"91628671";"";"";"";"";"";"";"";"ESTRADA, PATROCINIO PAULISTA A TAQUARAL KM 08 A ESQUERDA, S/N, SITIO SANTA RITA, ZONA RURAL, 14415000, SP, 6827, Brasil";1
"27097040";"0001";"50";"1";"";"02";"20170210";"00";"";"";"20170210";"0312401";"";"ACESSO";"BACIA DO PARANAPANEMA";"SN";"";"ZONA RURAL";"19880000";"SP";"6301";"18";"96827888";"";"";"";"";"RODOLFOJUNIOR@HOTMAIL.COM";"";"";"ACESSO, BACIA DO PARANAPANEMA, SN, ZONA RURAL, 19880000, SP, 6301, Brasil";1
"27160450";"0001";"06";"1";"";"02";"20170127";"00";"";"";"20170127";"0312401";"0311601,0311602,0312402";"ESTRADA";"ICAPARA";"400";"";"TOCA DO BUGIO";"11920000";"SP";"6507";"13";"38412548";"13";"38415625";"13";"38415625";"EMOCONTABILIDADE@HOTMAIL.COM";"";"";"ESTRADA, ICAPARA, 400, TOCA DO BUGIO, 11920000, SP, 6507, Brasil";1
"27177984";"0001";"37";"1";"";"02";"20170222";"00";"";"";"20170222";"0312401";"";"SITIO";"SAO JORGE II";"S/NR";"";"AGUA DA LIMEIRA";"19920000";"SP";"7009";"14";"33781188";"14";"33781962";"";"";"";"";"";"SITIO, SAO JORGE II, S/NR, AGUA DA LIMEIRA, 19920000, SP, 7009, Brasil";1
"09297039";"0002";"78";"2";"";"02";"20170317";"00";"";"";"20170317";"0312401";"0322101,0119909,0119999";"RUA";"A";"SN";"";"VARGINHA";"18430000";"SP";"6961";"15";"35531205";"";"";"15";"35531308";"";"";"";"RUA, A, SN, VARGINHA, 18430000, SP, 6961, Brasil";1
"27344045";"0001";"30";"1";"FAZENDA GOIABEIRA";"02";"20170320";"00";"";"";"20170320";"0322101";"0321302";"AREA";"PV GOIABEIRAS";"SN";"";"PARIPUEIRA";"62840000";"CE";"1343";"85";"99744063";"";"";"";"";"";"";"";"AREA, PV GOIABEIRAS, SN, PARIPUEIRA, 62840000, CE, 1343, Brasil";1
"27542868";"0001";"70";"1";"";"02";"20170406";"00";"";"";"20170406";"0312401";"0311601,0311602,0312402";"ESTRADA";"DO JAIRE";"KM 8";"";"BAICO";"11920000";"SP";"6507";"13";"38414661";"13";"38412548";"13";"38415625";"CP.VEIGAMIRANDA@GMAIL.COM";"";"";"ESTRADA, DO JAIRE, KM 8, BAICO, 11920000, SP, 6507, Brasil";1
"01959740";"0004";"65";"2";"";"02";"20170510";"00";"";"";"20170510";"0322101";"0322199";"RODOVIA";"GO 060";"SN";"      KM 89";"ZONA RURAL";"76110000";"GO";"9631";"43";"32551555";"43";"30201556";"";"";"";"";"";"RODOVIA, GO 060, SN, KM 89, ZONA RURAL, 76110000, GO, 9631, Brasil";1
